,id,date,duration,views,likes,category_id,update_diff,views_diff,views_diff_scaled,likes_diff,likes_diff_scaled
1,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,444882,10300,24,0.05277777777777778,-583235.0,-0.09841977020255634,-7195.0,-0.12394025030278563
2,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1058641,17786,24,0.3194444444444444,613759.0,1.0335863258274112,7486.0,1.0614452967299153
3,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,504356,11231,24,0.08611111111111111,-554285.0,-0.07104154067085647,-6555.0,-0.072264836495761
4,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1079841,17997,24,0.3527777777777778,575485.0,0.9973903204009421,6766.0,1.0033104561970125
5,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,549161,11779,24,0.11944444444444445,-530680.0,-0.04871811724785904,-6218.0,-0.0450545014129996
6,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1104594,18244,24,0.3861111111111111,555433.0,0.9784269954071719,6465.0,0.9790068631408962
7,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,604800,12328,24,0.1527777777777778,-499794.0,-0.01950899816958331,-5916.0,-0.02067016552280985
8,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1133712,18499,24,0.41944444444444445,528912.0,0.9533458891753857,6171.0,0.9552684699232943
9,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,646261,12732,24,0.18611111111111112,-487451.0,-0.007836131602751819,-5767.0,-0.00863948324586193
10,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1149957,18656,24,0.4527777777777778,503696.0,0.9294989311141993,5924.0,0.9353249899071457
11,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,670792,12996,24,0.21944444444444444,-479165.0,0.0,-5660.0,0.0
