,duration,update_diff,views_scaled,likes_scaled,vpm_scaled,time_gap_minutes,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,category_22,category_23,category_24,category_25,category_26,category_27
0,841,0.0,0.7060800411645526,-1.0,-0.5154712920690543,220340.3246292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,786,168.00833333333333,0.2892659753839651,0.1249178172255095,-0.6753382469185027,210259.8246292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1370,168.40472222222223,0.6598284963452676,1.8443646867354304,-0.4447086552247062,200155.54129586663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1341,167.59583333333333,-0.26783490992957,-0.1069831107662129,-0.895614027610895,190099.79129586663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1185,167.9975,-0.0850316774095735,-0.381651415699335,-0.7594115776432395,180019.94129586668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1332,168.00222222222223,-0.5075219490680547,-0.4164861340145073,-0.9751319479481942,169939.80796253335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,1105,167.99277777777775,1.1775060529350418,0.808419827335338,0.1443405384183937,159860.24129586667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,1151,167.99916666666667,-0.3131009863872133,-0.5111175779523824,-0.7765433327575618,149780.29129586666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1358,168.1052777777778,-0.1712808332146483,-0.242010756512648,-0.6227177038671211,139693.9746292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,1665,167.89888888888888,0.52875775855336,0.4827065886334487,0.0,129620.04129586669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,1316,168.0036111111111,0.7900412564377042,0.2908569642491458,0.3484829173272602,119539.8246292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,1469,167.99944444444444,0.9122864244267516,0.4703764779426822,0.6298786536842116,109459.85796253334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,1603,335.99944444444446,0.1573062486504367,0.363846046065466,0.2266264505641397,89299.89129586666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,1399,144.00027777777777,0.6378541598709933,1.0435972882378934,1.0223217908621642,80659.8746292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,1604,192.0013888888889,-0.6140180003032211,-0.9507334475808624,-0.4362150103107102,69139.79129586667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,1526,168.0013888888889,-0.3621458401290067,-0.7918216014054602,0.1782094765300068,59059.707962533335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,1623,167.9988888888889,-0.652307695841737,-0.9250385315959088,-0.0980981972558126,48979.7746292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,1692,167.9936111111111,0.3270284798059385,0.1069831107662129,2.8549057070533177,38900.15796253333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,1445,168.00583333333333,-0.7842375598976399,-0.8539895021610028,0.3772822961328788,28819.80796253333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,1543,167.99694444444444,-0.7010137230489334,-0.8945150407949903,1.821202381375782,18739.99129586667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,1674,168.00416666666666,0.0,0.4014830622649034,13.999169160555706,8659.741295866666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
